10001,-648,-620
10002,-729,-620
10003,-810,-620
10004,-891,-620
10005,-405,-539
10006,-405,-458
10007,-405,-296
10008,-729,-539
10009,-405,-215
10010,-405,-134
10011,-405,-53
10012,-486,-539
10013,-567,-539
10014,-648,-539
10015,-567,-620
10016,-405,-377
10017,-486,-620
10018,-891,-701
10019,-648,-701
10020,-729,-701
10021,-810,-701
10022,-405,-701
10023,-486,-701
10024,-567,-701
10025,-324,-620
10026,-324,-53
10027,-324,-539
10028,-324,-458
10029,-324,-377
10030,-324,-296
10031,-324,-215
10032,-324,-134
10033,-405,-620
10034,-891,-539
10035,-648,-377
10036,-486,-458
10037,-891,-377
10038,-648,-296
10039,-648,-215
10040,-648,-134
10041,-648,-53
10042,-729,-296
10043,-891,-296
10044,-810,-53
10045,-729,-215
10046,-729,-134
10047,-729,-53
10048,-810,-215
10049,-891,-215
10050,-810,-134
10051,-810,-377
10052,-810,-296
10053,-729,-377
10054,-648,-458
10055,-486,-377
10056,-486,-296
10057,-486,-215
10058,-486,-134
10059,-486,-53
10060,-567,-458
10061,-729,-458
10062,-567,-53
10063,-810,-458
10064,-891,-458
10065,-567,-377
10066,-567,-296
10067,-567,-215
10068,-567,-134
10069,-324,-701
10070,-810,-539
10071,-243,-53
10072,-162,-863
10073,-648,-944
10074,-729,-944
10075,-810,-944
10076,-891,-944
10077,-81,-863
20001,-81,-782
20002,-81,-620
20003,-81,-53
20004,-81,-539
20005,-81,-458
20006,-81,-377
20007,-81,-296
20008,-81,-215
20009,-81,-134
20010,-567,-944
20011,-81,-701
20012,-486,-944
20013,-0,-377
20014,-0,-863
20015,-0,-782
20016,-0,-701
20017,-0,-620
20018,-0,-539
20019,-0,-458
20020,-0,-296
20021,-324,-944
20022,-0,-215
20023,-0,-134
20024,-0,-53
20025,-81,-944
20026,-162,-944
20027,-243,-944
20028,-405,-944
20029,-243,-863
20030,-162,-134
20031,-324,-863
20032,-324,-782
20033,-405,-782
20034,-486,-782
20035,-567,-782
20036,-648,-782
20037,-729,-782
20038,-891,-782
20039,-243,-215
20040,-243,-701
20041,-243,-620
20042,-243,-539
20043,-243,-458
20044,-243,-377
20045,-243,-296
20046,-243,-782
20047,-810,-782
20048,-162,-53
20049,-891,-863
20050,-405,-863
20051,-486,-863
20052,-567,-863
20053,-648,-863
20054,-729,-863
20055,-810,-863
20056,-162,-782
20057,-162,-215
20058,-162,-701
20059,-162,-620
20060,-162,-539
20061,-162,-458
20062,-162,-377
20063,-162,-296
20064,-243,-134
20065,-891,-134
00000,-0,-944